vosges,vosges,59718.0
moselle,bas_rhin,163.0
bas_rhin,moselle,137.0
haut_rhin,haut_rhin,125466.0
haut_rhin,bas_rhin,72.0
bas_rhin,bas_rhin,197654.0
seine_maritime,seine_maritime,222879.0
eure,seine_maritime,376.0
seine_maritime,eure,430.0
eure,eure,107971.0
eure_et_loir,eure,170.0
eure,eure_et_loir,156.0
eure_et_loir,eure_et_loir,69139.0
eure_et_loir,yvelines,110.0
eure,yvelines,92.0
seine_maritime,somme,116.0
yvelines,eure,77.0
somme,seine_maritime,123.0
eure,oise,51.0
indre,indre,33540.0
gironde,gironde,291504.0
yvelines,yvelines,194885.0
yvelines,paris,474.0
yvelines,val_d'oise,975.0
yvelines,hauts_de_seine,1333.0
yvelines,essonne,127.0
yvelines,val_de_marne,170.0
yvelines,seine_saint_denis,379.0
val_d'oise,yvelines,897.0
hauts_de_seine,yvelines,1388.0
hauts_de_seine,essonne,389.0
hauts_de_seine,hauts_de_seine,153702.0
val_d'oise,val_d'oise,185867.0
hauts_de_seine,seine_saint_denis,1120.0
hauts_de_seine,paris,2210.0
hauts_de_seine,val_d'oise,835.0
hauts_de_seine,val_de_marne,1037.0
val_d'oise,hauts_de_seine,792.0
hauts_de_seine,seine_et_marne,139.0
val_d'oise,essonne,28.0
val_d'oise,paris,1084.0
oise,val_d'oise,377.0
essonne,yvelines,89.0
somme,somme,103992.0
val_d'oise,val_de_marne,420.0
val_d'oise,seine_saint_denis,2468.0
paris,essonne,736.0
paris,paris,219890.0
paris,hauts_de_seine,2290.0
paris,seine_et_marne,667.0
paris,yvelines,501.0
paris,val_d'oise,1064.0
paris,seine_saint_denis,4428.0
paris,val_de_marne,3522.0
essonne,hauts_de_seine,350.0
essonne,essonne,206744.0
essonne,paris,721.0
val_d'oise,oise,410.0
essonne,val_de_marne,2393.0
val_de_marne,yvelines,212.0
seine_saint_denis,val_d'oise,2417.0
val_de_marne,hauts_de_seine,1075.0
essonne,seine_saint_denis,501.0
seine_saint_denis,yvelines,329.0
val_de_marne,essonne,2425.0
val_de_marne,paris,3543.0
val_de_marne,val_d'oise,399.0
seine_saint_denis,hauts_de_seine,1112.0
seine_saint_denis,paris,4447.0
val_de_marne,val_de_marne,274182.0
seine_saint_denis,seine_saint_denis,303670.0
val_d'oise,seine_et_marne,244.0
val_de_marne,seine_saint_denis,3329.0
seine_saint_denis,val_de_marne,3414.0
oise,oise,157094.0
seine_saint_denis,essonne,502.0
pas_de_calais,pas_de_calais,296615.0
val_de_marne,seine_et_marne,1705.0
seine_saint_denis,seine_et_marne,1977.0
essonne,seine_et_marne,803.0
oise,seine_saint_denis,63.0
seine_et_marne,essonne,784.0
seine_et_marne,hauts_de_seine,108.0
seine_et_marne,val_d'oise,226.0
seine_et_marne,seine_saint_denis,1968.0
seine_et_marne,val_de_marne,1750.0
oise,seine_et_marne,62.0
pas_de_calais,somme,35.0
seine_et_marne,paris,618.0
seine_et_marne,oise,63.0
seine_et_marne,seine_et_marne,284007.0
pas_de_calais,nord,1517.0
nord,pas_de_calais,1457.0
somme,aisne,54.0
nord,nord,495066.0
aisne,oise,59.0
aisne,somme,40.0
aisne,aisne,104126.0
herault,herault,200970.0
marne,aube,73.0
aisne,nord,61.0
aube,aube,50574.0
marne,marne,102899.0
rhone,ain,410.0
rhone,rhone,272695.0
ain,rhone,442.0
bouches_du_rhone,bouches_du_rhone,329414.0
ain,ain,88750.0
var,bouches_du_rhone,128.0
haute_savoie,ain,43.0
var,var,175777.0
haute_savoie,haute_savoie,125977.0
moselle,moselle,182074.0
bas_rhin,haut_rhin,62.0
seine_maritime,oise,14.0
oise,seine_maritime,38.0
yvelines,eure_et_loir,121.0
oise,eure,57.0
paris,oise,46.0
essonne,val_d'oise,32.0
somme,pas_de_calais,36.0
seine_saint_denis,oise,76.0
oise,paris,29.0
oise,somme,16.0
oise,aisne,62.0
seine_et_marne,aisne,41.0
nord,aisne,81.0
aisne,marne,55.0
aube,marne,75.0
bouches_du_rhone,var,142.0
ain,haute_savoie,29.0
somme,oise,33.0
seine_et_marne,aube,14.0
marne,aisne,51.0
