trento,trento,73866.0
varese,varese,164981.0
alessandria,pavia,76.0
varese,milano,629.0
varese,como,444.0
como,varese,421.0
pavia,alessandria,64.0
genova,genova,127173.0
milano,varese,641.0
milano,novara,77.0
firenze,firenze,189829.0
bologna,modena,198.0
pavia,pavia,107658.0
como,como,120904.0
pavia,milano,357.0
como,milano,166.0
milano,como,170.0
milano,pavia,385.0
milano,milano,606190.0
como,lecco,143.0
milano,lodi,272.0
lecco,como,164.0
milano,bergamo,270.0
pavia,piacenza,52.0
pavia,lodi,153.0
lecco,lecco,56483.0
lecco,milano,57.0
lodi,milano,232.0
piacenza,pavia,59.0
lecco,bergamo,67.0
lodi,pavia,163.0
lodi,lodi,36584.0
verona,vicenza,133.0
cremona,lodi,51.0
bergamo,milano,219.0
bergamo,lecco,64.0
cremona,milano,14.0
cremona,bergamo,41.0
lodi,cremona,60.0
bergamo,cremona,60.0
piacenza,lodi,65.0
lodi,piacenza,63.0
bergamo,bergamo,188817.0
piacenza,piacenza,58275.0
bologna,bologna,191524.0
cremona,cremona,54523.0
bergamo,brescia,321.0
vicenza,verona,137.0
piacenza,cremona,233.0
padova,verona,43.0
vicenza,vicenza,120739.0
vicenza,padova,274.0
padova,vicenza,272.0
vicenza,treviso,77.0
brescia,cremona,54.0
treviso,vicenza,70.0
padova,padova,161689.0
padova,treviso,174.0
treviso,padova,195.0
padova,venezia,447.0
venezia,padova,445.0
treviso,treviso,141089.0
treviso,venezia,346.0
venezia,treviso,358.0
venezia,venezia,126336.0
roma,roma,808262.0
cremona,brescia,41.0
pesaro_e_urbino,pesaro_e_urbino,56765.0
napoli,napoli,636874.0
brescia,brescia,205135.0
parma,parma,82255.0
parma,reggio_emilia,193.0
cremona,mantova,91.0
brescia,bergamo,287.0
brescia,mantova,87.0
reggio_emilia,parma,209.0
mantova,cremona,98.0
mantova,brescia,99.0
cremona,piacenza,245.0
brescia,verona,30.0
reggio_emilia,reggio_emilia,96487.0
mantova,reggio_emilia,113.0
reggio_emilia,mantova,112.0
mantova,mantova,73994.0
reggio_emilia,modena,343.0
verona,brescia,29.0
mantova,verona,111.0
torino,cuneo,97.0
cuneo,torino,96.0
modena,reggio_emilia,328.0
torino,torino,390516.0
cuneo,cuneo,87285.0
verona,mantova,105.0
modena,modena,129862.0
verona,verona,157970.0
modena,mantova,80.0
modena,bologna,188.0
novara,varese,94.0
novara,novara,60847.0
alessandria,alessandria,70059.0
mantova,modena,55.0
varese,novara,101.0
novara,milano,73.0
milano,lecco,53.0
milano,cremona,18.0
verona,padova,33.0
piacenza,parma,10.0
alessandria,genova,12.0
