name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
alessandria,4,46,25,66,50,51,0,221,59,106,57,129,0,34,126,91,58,25,37,61,50,63,100,172,141,42,70,65,38,72,57,67,52,40,173,116,56,31,32,84,109,26,80,66,8,83,47,28,71,74,68,25,9,13,16,32,58,11,7,2,12
bergamo,232,496,552,344,233,312,340,509,715,347,255,257,344,386,602,289,178,137,139,236,132,144,273,124,103,53,63,112,108,107,51,82,35,46,46,72,39,60,49,50,60,98,56,45,66,37,46,95,22,47,34,59,85,12,37,35,49,46,24,50,503
bologna,33,40,35,61,42,62,70,87,58,64,159,135,139,146,160,173,157,129,68,144,141,114,90,92,96,39,102,98,98,121,122,95,28,60,110,129,60,61,82,43,52,54,62,69,54,35,72,89,64,42,49,43,40,29,27,39,35,31,22,11,21
brescia,186,338,351,445,382,484,463,401,380,289,588,393,299,334,374,373,335,200,154,231,159,257,166,160,137,117,315,213,247,230,269,190,35,94,168,212,191,188,58,74,100,130,167,65,24,35,92,115,55,68,70,29,94,46,99,124,69,46,44,70,128
como,20,36,30,36,36,30,52,42,72,60,69,54,71,56,54,87,111,47,40,56,48,51,63,65,89,52,17,63,81,139,99,91,91,48,79,52,154,49,62,42,89,83,107,71,83,51,78,53,37,27,22,20,19,32,37,39,30,10,16,8,42
cremona,42,221,227,89,192,94,119,106,341,162,30,136,95,214,126,109,157,26,81,72,33,123,57,79,27,63,99,67,73,96,63,224,227,30,71,40,94,10,74,150,65,101,60,39,60,5,22,30,14,31,20,18,3,21,21,27,41,23,6,2,5
cuneo,16,7,14,30,28,30,0,72,44,38,64,42,32,46,31,40,33,59,81,47,48,24,82,139,64,52,40,74,17,32,112,145,140,44,23,83,80,76,22,50,59,27,68,100,12,16,10,42,27,7,33,9,18,6,28,16,25,6,7,5,3
firenze,15,31,30,24,28,81,54,52,50,63,34,74,87,55,0,91,102,65,65,71,261,124,83,89,54,36,66,90,108,85,105,10,42,61,71,51,69,46,44,51,56,35,54,75,79,8,28,40,41,36,37,17,14,18,15,18,21,9,11,6,11
genova,36,103,43,0,56,48,110,39,34,116,12,7,86,0,35,62,147,43,26,13,45,27,132,612,78,155,628,64,69,14,154,0,386,15,35,35,87,62,86,63,82,94,61,45,156,145,55,78,45,70,146,8,38,45,45,39,49,0,9,30,0
lecco,38,50,57,42,54,26,64,146,142,54,62,81,61,83,51,106,65,56,33,46,36,42,34,50,34,19,24,50,33,22,21,30,59,12,4,19,25,42,8,13,16,23,17,8,20,53,18,17,9,3,13,54,16,11,10,38,29,34,4,50,25
lodi,10,143,44,42,56,27,83,69,96,79,45,43,24,84,38,23,28,30,29,41,32,25,24,17,23,43,26,29,43,53,71,16,10,18,39,52,36,10,16,11,36,46,3,67,23,10,11,12,7,28,23,30,15,52,41,49,18,42,7,6,16
mantova,18,74,78,43,83,49,122,87,119,63,80,108,83,74,148,86,66,67,71,48,46,102,97,63,40,58,74,61,78,56,75,85,60,24,36,57,115,42,8,20,44,45,35,25,23,18,8,25,19,10,9,5,2,14,2,4,16,13,1,0,4
milano,161,244,199,233,343,318,634,526,868,424,230,375,373,848,547,314,546,347,235,611,482,387,428,411,308,249,252,440,269,520,412,481,189,325,277,325,269,279,287,408,480,277,412,219,463,188,278,284,216,364,249,118,186,144,313,182,201,178,104,114,136
modena,61,55,61,73,20,115,88,104,139,104,145,199,179,143,96,150,172,43,85,75,119,82,53,58,82,67,53,56,63,81,76,45,48,37,45,39,39,50,21,38,23,18,29,19,24,16,31,21,27,21,26,33,10,11,8,6,7,13,8,23,7
napoli,31,31,17,31,39,0,100,58,47,41,39,45,38,39,69,93,71,93,62,108,118,149,70,34,36,75,25,31,73,37,62,61,78,16,46,37,21,29,22,46,36,53,18,19,22,14,16,11,7,20,11,14,5,13,15,5,8,7,4,11,5
novara,16,0,23,38,41,40,0,103,37,68,22,51,46,60,32,48,37,39,64,57,48,28,37,19,22,65,73,72,40,282,65,7,26,70,117,30,86,46,9,32,95,20,29,31,6,9,26,21,26,42,32,6,6,17,5,35,8,26,7,6,13
