date,mean_in_strength,median_in_strength,mean_in_degree,graph_density
2020-03-10,6957.81914893617,1239.5,5.5,0.05913978494623656
2020-03-11,6777.053191489362,1204.0,5.48936170212766,0.059025394646533974
2020-03-12,7045.223404255319,1223.0,5.691489361702128,0.06119881034088309
2020-03-13,6757.31914893617,1371.0,6.638297872340425,0.07137954701441318
2020-03-14,3622.1382978723404,676.5,5.48936170212766,0.059025394646533974
2020-03-15,2222.7659574468084,389.0,5.48936170212766,0.059025394646533974
2020-03-16,4145.574468085107,803.5,5.26595744680851,0.05662319835277969
2020-03-17,2231.1170212765956,455.0,3.978723404255319,0.04278197208876687
2020-03-18,1383.6170212765958,217.5,3.202127659574468,0.03443148021047815
2020-03-19,1281.0851063829787,185.0,2.9148936170212765,0.03134294211850835
2020-03-20,1212.5212765957447,189.0,2.9680851063829787,0.031914893617021274
2020-03-21,590.531914893617,48.0,2.0425531914893615,0.02196293754289636
2020-03-22,355.72340425531917,11.5,1.4787234042553192,0.015900251658659346
2020-03-23,1048.3936170212767,140.5,2.75531914893617,0.02962708762296957
2020-03-24,1074.627659574468,169.5,2.8404255319148937,0.030542210020590255
2020-03-25,1044.1702127659576,151.0,2.74468085106383,0.029512697323266987
2020-03-26,1058.9893617021276,150.5,2.6914893617021276,0.02894074582475406
2020-03-27,1051.3829787234042,147.5,2.7872340425531914,0.02997025852207733
2020-03-28,542.9893617021277,46.0,1.946808510638298,0.020933424845573097
2020-03-29,330.51063829787233,18.5,1.3936170212765957,0.014985129261038664
2020-03-30,1023.6595744680851,146.5,2.6595744680851063,0.028597574925646307
2020-03-31,1100.7021276595744,158.5,2.7127659574468086,0.02916952642415923
2020-04-01,1118.3191489361702,181.0,2.75531914893617,0.02962708762296957
2020-04-02,1123.0,179.0,2.9361702127659575,0.031571722717913524
2020-04-03,1135.2340425531916,171.5,2.893617021276596,0.03111416151910318
2020-04-04,611.3829787234042,59.0,2.1808510638297873,0.023450011439029972
2020-04-05,378.8510638297872,14.0,1.5638297872340425,0.016815374056280027
2020-04-06,1136.5744680851064,176.5,2.8191489361702127,0.030313429421185083
2020-04-07,1220.531914893617,190.0,2.872340425531915,0.03088538091969801
2020-04-08,1239.9148936170213,187.0,2.8617021276595747,0.030770990619995425
2020-04-09,1255.0212765957447,192.0,2.882978723404255,0.030999771219400594
2020-04-10,1255.4468085106382,186.0,2.8617021276595747,0.030770990619995425
2020-04-11,693.2553191489362,73.0,2.265957446808511,0.024365133836650652
2020-04-12,416.4574468085106,26.0,1.7553191489361701,0.01887439945092656
2020-04-13,499.90425531914894,20.0,1.7446808510638299,0.018760009151223975
2020-04-14,1339.0851063829787,222.0,2.925531914893617,0.031457332418210936
2020-04-15,1369.223404255319,226.0,3.0106382978723403,0.03237245481583162
2020-04-16,1402.212765957447,245.5,3.0106382978723403,0.03237245481583162
2020-04-17,1415.063829787234,238.0,3.0425531914893615,0.03271562571493937
2020-04-18,757.031914893617,91.0,2.3191489361702127,0.02493708533516358
2020-04-19,455.82978723404256,29.0,1.7340425531914894,0.01864561885152139
2020-04-20,1391.1170212765958,219.5,2.9680851063829787,0.031914893617021274
2020-04-21,1537.627659574468,251.0,3.095744680851064,0.033287577213452296
2020-04-22,1583.0744680851064,257.0,3.148936170212766,0.03385952871196522
2020-04-23,1635.276595744681,263.0,3.0425531914893615,0.03271562571493937
2020-04-24,1572.6914893617022,272.0,3.0425531914893615,0.03271562571493937
2020-04-25,843.6808510638298,87.0,2.425531914893617,0.02608098833218943
2020-04-26,509.9255319148936,39.5,1.8191489361702127,0.01956074124914207
2020-04-27,1648.3297872340424,276.0,3.1914893617021276,0.03431708991077557
2020-04-28,1724.4148936170213,283.0,3.1382978723404253,0.03374513841226264
2020-04-29,1761.031914893617,295.5,3.24468085106383,0.034889041409288495
2020-04-30,1795.9255319148936,321.5,3.234042553191489,0.034774651109585906
2020-05-01,632.5531914893617,48.5,2.0638297872340425,0.022191718142301534
2020-05-02,945.5851063829788,110.0,2.5106382978723403,0.026996110729810112
2020-05-03,566.3829787234042,46.5,1.925531914893617,0.020704644246167924
2020-05-04,1966.7340425531916,332.5,3.3085106382978724,0.035575383207504
2020-05-05,2061.9893617021276,358.5,3.25531914893617,0.035003431708991076
2020-05-06,2136.755319148936,374.5,3.4680851063829787,0.03729123770304278
2020-05-07,2217.5,388.5,3.4468085106382977,0.03706245710363761
2020-05-08,1028.1489361702127,96.0,2.521276595744681,0.027110501029512696
2020-05-09,1156.1063829787233,153.0,2.7127659574468086,0.02916952642415923
2020-05-10,713.5851063829788,67.0,2.234042553191489,0.024021962937542895
2020-05-11,3082.372340425532,583.0,3.9893617021276597,0.04289636238846946
2020-05-12,3455.148936170213,696.0,4.095744680851064,0.04404026538549531
2020-05-13,0.0,0.0,0.0,0.0
2020-05-14,0.0,0.0,0.0,0.0
2020-05-15,0.0,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0
2020-05-19,0.0,0.0,0.0,0.0
2020-05-20,0.0,0.0,0.0,0.0
2020-05-21,0.0,0.0,0.0,0.0
2020-05-22,0.0,0.0,0.0,0.0
2020-05-23,0.0,0.0,0.0,0.0
2020-05-24,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0
2020-05-26,0.0,0.0,0.0,0.0
