model,country,shift,mean_result,std_result,MAE,MSE,RMSE,R2
BiLSTM,IT,0,14.41587,6.22833,14.41587,1559.74830,39.49365,0.33473
BiLSTM,IT,1,14.87368,6.16396,14.87368,1624.97630,40.31099,0.31408
BiLSTM,IT,2,15.39012,5.89655,15.39012,1708.08882,41.32903,0.29100
BiLSTM,IT,3,15.84850,5.42926,15.84850,1782.18473,42.21593,0.27297
BiLSTM,IT,4,15.79898,5.63003,15.79898,1751.84332,41.85503,0.29680
BiLSTM,IT,5,16.38110,5.33050,16.38110,1867.67573,43.21661,0.26246
BiLSTM,IT,6,16.41893,5.33172,16.41893,1856.07681,43.08221,0.27847
BiLSTM,EN,0,6.10890,1.86062,6.10890,118.17980,10.87105,0.59205
BiLSTM,EN,1,6.22355,1.78679,6.22355,118.61721,10.89115,0.59479
BiLSTM,EN,2,6.46701,1.87506,6.46701,122.00188,11.04545,0.58724
BiLSTM,EN,3,6.60806,1.94255,6.60806,122.18522,11.05374,0.59032
BiLSTM,EN,4,7.01956,2.11958,7.01956,135.00769,11.61928,0.55117
BiLSTM,EN,5,7.20138,2.12367,7.20138,143.58884,11.98286,0.52715
BiLSTM,EN,6,6.92415,1.58814,6.92415,135.02730,11.62012,0.56023
BiLSTM,FR,0,5.12539,3.69498,5.12539,180.82370,13.44707,0.42957
BiLSTM,FR,1,5.02792,3.59920,5.02792,173.74345,13.18118,0.46180
BiLSTM,FR,2,5.28183,3.65862,5.28183,184.97427,13.60052,0.43762
BiLSTM,FR,3,5.30264,3.64837,5.30264,182.00993,13.49111,0.45704
BiLSTM,FR,4,5.70293,3.79593,5.70293,206.19201,14.35939,0.39654
BiLSTM,FR,5,5.78596,3.78798,5.78596,206.59481,14.37341,0.40705
BiLSTM,FR,6,5.79399,3.66834,5.79399,207.32131,14.39866,0.41686
BiLSTM,ES,0,38.70426,18.14187,38.70426,16904.36041,130.01677,0.13460
BiLSTM,ES,1,39.64768,17.78841,39.64768,17202.65543,131.15889,0.13551
BiLSTM,ES,2,40.66076,17.51975,40.66076,17626.90148,132.76634,0.13092
BiLSTM,ES,3,41.40532,17.36482,41.40532,18103.27016,134.54839,0.12492
BiLSTM,ES,4,42.39300,17.14325,42.39300,18529.07656,136.12155,0.12233
BiLSTM,ES,5,43.07056,17.54073,43.07056,19023.00604,137.92391,0.11746
BiLSTM,ES,6,43.16429,17.02262,43.16429,19481.31871,139.57549,0.11486
STAN,IT,0,9.54741,5.30697,9.54741,526.52558,22.94615,0.77542
STAN,IT,1,9.81095,5.03242,9.81095,525.61680,22.92633,0.77813
STAN,IT,2,10.73933,4.99189,10.73933,656.95141,25.63106,0.72731
STAN,IT,3,11.01091,5.11362,11.01091,713.39055,26.70937,0.70898
STAN,IT,4,10.57570,4.21639,10.57570,603.58286,24.56792,0.75772
STAN,IT,5,11.26684,4.77792,11.26684,712.34867,26.68986,0.71870
STAN,IT,6,11.32993,5.07039,11.32993,716.00104,26.75820,0.72166
STAN,EN,0,6.07781,4.11588,6.07781,118.64553,10.89245,0.59044
STAN,EN,1,6.50994,5.03890,6.50994,154.03341,12.41102,0.47380
STAN,EN,2,7.40591,6.24980,7.40591,224.63024,14.98767,0.24002
STAN,EN,3,7.34338,6.11620,7.34338,218.61624,14.78568,0.26699
STAN,EN,4,7.96567,6.91239,7.96567,263.30898,16.22680,0.12464
STAN,EN,5,6.88224,4.40270,6.88224,155.46356,12.46850,0.48805
STAN,EN,6,7.59706,5.90624,7.59706,229.54983,15.15090,0.25237
STAN,FR,0,5.76463,7.86479,5.76463,589.94831,24.28885,-0.86106
STAN,FR,1,5.79327,5.23068,5.79327,296.94213,17.23201,0.08017
STAN,FR,2,5.76839,6.14555,5.76839,402.06488,20.05156,-0.22240
STAN,FR,3,5.07399,4.00843,5.07399,184.95257,13.59973,0.44826
STAN,FR,4,7.48394,7.28075,7.48394,617.77983,24.85518,-0.80805
STAN,FR,5,5.68308,4.81792,5.68308,249.30664,15.78945,0.28446
STAN,FR,6,6.39527,5.39331,6.39527,344.78543,18.56840,0.03020
STAN,ES,0,37.36903,49.43882,37.36903,35331.96202,187.96798,-0.80879
STAN,ES,1,35.73383,35.00568,35.73383,16170.06592,127.16157,0.18740
STAN,ES,2,30.15576,21.60036,30.15576,8860.14228,94.12833,0.56316
STAN,ES,3,33.89512,25.22023,33.89512,11569.72626,107.56266,0.44074
STAN,ES,4,32.96568,24.34794,32.96568,11148.31392,105.58558,0.47194
STAN,ES,5,35.59849,25.10569,35.59849,12940.19952,113.75500,0.39966
STAN,ES,6,49.32884,66.59612,49.32884,65844.70041,256.60222,-1.99166
ATMGNN_noSEIR,IT,0,8.61177,4.32296,8.61177,432.47894,20.79613,0.81554
ATMGNN_noSEIR,IT,1,10.14987,4.53590,10.14988,585.95469,24.20650,0.75266
ATMGNN_noSEIR,IT,2,10.68577,4.74327,10.68577,631.53258,25.13031,0.73786
ATMGNN_noSEIR,IT,3,11.04072,4.51382,11.04072,679.42545,26.06579,0.72283
ATMGNN_noSEIR,IT,4,10.84515,4.25080,10.84515,639.41318,25.28662,0.74334
ATMGNN_noSEIR,IT,5,11.40906,4.36906,11.40906,731.22463,27.04117,0.71124
ATMGNN_noSEIR,IT,6,10.81389,4.11522,10.81389,639.92380,25.29672,0.75124
ATMGNN_noSEIR,EN,0,5.08833,4.89392,5.08833,122.66456,11.07540,0.57657
ATMGNN_noSEIR,EN,1,5.21397,2.65973,5.21397,75.97799,8.71654,0.74045
ATMGNN_noSEIR,EN,2,5.20613,1.91120,5.20613,67.62682,8.22355,0.77120
ATMGNN_noSEIR,EN,3,6.49661,7.78739,6.49661,302.20750,17.38412,-0.01329
ATMGNN_noSEIR,EN,4,6.21234,2.66414,6.21234,98.82825,9.94124,0.67145
ATMGNN_noSEIR,EN,5,6.51126,3.51569,6.51126,119.06433,10.91166,0.60791
ATMGNN_noSEIR,EN,6,6.43986,2.72890,6.43986,106.43504,10.31674,0.65335
ATMGNN_noSEIR,FR,0,3.98941,3.60531,3.98941,156.61458,12.51457,0.50594
ATMGNN_noSEIR,FR,1,4.32259,2.98771,4.32259,128.95732,11.35594,0.60053
ATMGNN_noSEIR,FR,2,5.14878,3.75994,5.14878,177.08902,13.30748,0.46160
ATMGNN_noSEIR,FR,3,5.40711,4.35561,5.40711,254.43425,15.95100,0.24098
ATMGNN_noSEIR,FR,4,5.20025,3.15261,5.20025,151.79564,12.32054,0.55574
ATMGNN_noSEIR,FR,5,5.69786,5.09843,5.69786,281.11247,16.76641,0.19318
ATMGNN_noSEIR,FR,6,5.22177,3.37080,5.22177,169.10610,13.00408,0.52435
ATMGNN_noSEIR,ES,0,25.52313,15.09390,25.52313,4448.57125,66.69761,0.77226
ATMGNN_noSEIR,ES,1,29.93418,29.63263,29.93417,11794.91520,108.60440,0.40726
ATMGNN_noSEIR,ES,2,28.91459,11.50362,28.91459,5765.63719,75.93179,0.71573
ATMGNN_noSEIR,ES,3,29.28306,10.74470,29.28306,5947.06959,77.11725,0.71253
ATMGNN_noSEIR,ES,4,29.81949,11.46533,29.81949,5127.49181,71.60651,0.75713
ATMGNN_noSEIR,ES,5,32.94707,14.07262,32.94707,8820.06333,93.91519,0.59081
ATMGNN_noSEIR,ES,6,29.16890,10.20749,29.16890,5687.69984,75.41684,0.74158
DiffATMGNN_noSEIR,IT,0,10.10771,5.13869,10.10771,577.40607,24.02928,0.75372
DiffATMGNN_noSEIR,IT,1,9.63171,4.51136,9.63171,523.15064,22.87249,0.77917
DiffATMGNN_noSEIR,IT,2,10.40621,4.60033,10.40621,576.66130,24.01377,0.76064
DiffATMGNN_noSEIR,IT,3,10.72730,4.35165,10.72730,637.63900,25.25151,0.73988
DiffATMGNN_noSEIR,IT,4,11.93333,6.89880,11.93333,921.80422,30.36123,0.62998
DiffATMGNN_noSEIR,IT,5,11.19451,4.20751,11.19451,674.07700,25.96299,0.73381
DiffATMGNN_noSEIR,IT,6,12.27683,5.32416,12.27683,879.42623,29.65512,0.65813
DiffATMGNN_noSEIR,EN,0,5.05519,1.97815,5.05519,63.95782,7.99736,0.77922
DiffATMGNN_noSEIR,EN,1,5.81246,4.53201,5.81246,162.78860,12.75886,0.44389
DiffATMGNN_noSEIR,EN,2,6.71086,7.02811,6.71086,190.50382,13.80231,0.35548
DiffATMGNN_noSEIR,EN,3,5.68324,2.42504,5.68324,78.68792,8.87062,0.73616
DiffATMGNN_noSEIR,EN,4,6.98139,6.08768,6.98139,181.61487,13.47646,0.39623
DiffATMGNN_noSEIR,EN,5,6.19935,2.53212,6.19935,99.64390,9.98218,0.67186
DiffATMGNN_noSEIR,EN,6,16.47427,63.88221,16.47427,13107.55064,114.48821,-41.69028
DiffATMGNN_noSEIR,FR,0,4.65414,4.17099,4.65414,182.91556,13.52463,0.42297
DiffATMGNN_noSEIR,FR,1,4.87929,3.51895,4.87929,156.39518,12.50581,0.51554
DiffATMGNN_noSEIR,FR,2,4.79755,3.28123,4.79755,135.92335,11.65862,0.58675
DiffATMGNN_noSEIR,FR,3,5.32770,4.32308,5.32770,187.10253,13.67854,0.44184
DiffATMGNN_noSEIR,FR,4,5.27878,4.10966,5.27878,224.45594,14.98185,0.34309
DiffATMGNN_noSEIR,FR,5,5.46854,4.06990,5.46854,251.62682,15.86275,0.27780
DiffATMGNN_noSEIR,FR,6,5.06861,3.11825,5.06861,147.15477,12.13074,0.58609
DiffATMGNN_noSEIR,ES,0,31.39197,26.92776,31.39197,8967.10161,94.69478,0.54094
DiffATMGNN_noSEIR,ES,1,28.72032,12.23187,28.72032,6115.61711,78.20241,0.69267
DiffATMGNN_noSEIR,ES,2,29.14180,12.70120,29.14180,7171.68594,84.68581,0.64641
DiffATMGNN_noSEIR,ES,3,33.12691,14.63203,33.12691,8598.36194,92.72735,0.58437
DiffATMGNN_noSEIR,ES,4,37.81457,25.60077,37.81457,13309.90087,115.36854,0.36955
DiffATMGNN_noSEIR,ES,5,33.75763,13.73063,33.75763,10246.05241,101.22279,0.52465
